Episode	TotalReward	Steps	Collisions	SuccessRate
1	-657.0	50	130	0.00
2	-95.9	7	19	0.00
3	-50.2	3	10	0.00
4	-40.4	3	8	0.00
5	-127.3	12	25	0.00
6	-75.9	6	15	0.00
7	-166.1	11	33	0.00
8	-61.2	6	12	0.00
9	-75.5	5	15	0.00
10	-418.7	30	83	0.00
11	-394.6	31	78	0.00
12	-251.8	17	50	0.00
13	-45.3	3	9	0.00
14	-332.6	23	66	0.00
15	-61.2	6	12	0.00
16	-257.1	18	51	0.00
17	-198.7	19	39	0.00
18	-87.3	10	17	0.00
19	-263.6	22	52	0.00
20	-227.3	17	45	0.00
21	-77.9	11	15	0.00
22	-137.9	14	27	0.00
23	-601.5	46	119	0.00
24	-600.7	44	119	0.00
25	-61.2	6	12	0.00
26	-2418.0	165	480	0.00
27	-26899.6	1785	5344	0.00
28	-11663.5	1094	2291	0.00
29	-23799.8	1606	4726	0.00
30	-26348.2	1754	5234	0.00
31	-3204.8	270	632	0.00
32	-11931.1	1077	2347	0.00
33	1861.6	381	263	0.25
34	890.4	1046	1790	0.25
35	-39585.6	3218	7816	0.00
