Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-72.0	3	7	0.00	False
2	-1055.0	37	103	0.00	False
3	-102.2	4	10	0.00	False
4	-1375.6	47	135	0.00	False
5	-144.0	6	14	0.00	False
6	-304.8	11	30	0.00	False
7	-434.6	14	43	0.00	False
8	-426.6	21	41	0.00	False
9	-1526.6	52	150	0.00	False
10	-511.4	23	50	0.00	False
11	-182.8	8	18	0.00	False
12	-794.2	37	77	0.00	False
13	-183.0	7	18	0.00	False
14	-569.2	29	55	0.00	False
15	-722.8	36	70	0.00	False
16	-594.2	20	59	0.00	False
17	-383.8	24	37	0.00	False
18	-626.4	32	61	0.00	False
19	-4087.8	141	405	0.00	False
20	-2956.6	121	291	0.00	False
21	-5557.2	204	550	0.00	False
22	-18800.8	1000	1836	0.00	True
23	-14619.6	654	1438	0.00	False
24	-21484.0	1000	2110	0.00	True
25	-17807.4	1000	1733	0.00	True
26	-21109.6	1000	2072	0.00	True
27	-4547.0	268	442	0.00	False
28	-5683.0	301	554	0.00	False
29	-26156.6	1000	2587	0.00	True
30	-20238.4	1000	1983	0.00	True
31	-14618.8	1000	1396	0.00	True
32	-16301.8	1000	1581	0.00	True
33	-10432.2	1000	939	0.00	True
34	-7854.6	480	762	0.00	False
35	-14630.0	1000	1410	0.00	True
36	-5243.6	1000	452	0.00	True
37	-20789.2	1000	2039	0.00	True
38	-17058.4	1000	1658	0.00	True
39	-19089.2	1000	1864	0.00	True
40	-18361.4	1000	1788	0.00	True
