episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-993.5,8,20,0.00,0,12.87,0.997
2,-1247.1,10,25,0.00,0,13.28,0.994
3,-549.1,4,11,0.00,0,13.66,0.991
4,-797.9,6,16,0.00,0,13.47,0.988
5,-400.0,2,8,0.00,0,13.83,0.985
6,-796.0,7,16,0.00,0,13.18,0.982
7,-1498.3,11,30,0.00,0,13.44,0.979
8,-1400.3,11,28,0.00,0,13.67,0.976
9,-2092.9,19,42,0.00,0,12.51,0.973
10,-3245.0,24,65,0.00,0,12.82,0.970
11,-22012.7,146,440,0.00,0,13.52,0.967
12,-999.0,8,20,0.00,0,13.55,0.965
13,-2299.5,20,46,0.00,0,13.34,0.962
14,-1647.6,12,33,0.00,0,13.34,0.959
15,-24942.2,177,499,0.00,0,10.25,0.956
16,-5349.5,35,107,0.00,0,13.36,0.953
17,-843.1,7,17,0.00,0,12.83,0.950
18,-6294.1,44,126,0.00,0,12.46,0.947
19,-2650.7,17,53,0.00,0,13.73,0.945
20,-699.3,5,14,0.00,0,13.67,0.942
21,-1444.7,12,29,0.00,0,12.93,0.939
22,-6641.3,44,133,0.00,0,12.20,0.936
23,-1349.9,10,27,0.00,0,13.65,0.933
24,63878.5,62,123,0.25,0,10.66,0.930
25,-11492.2,84,230,0.00,0,11.91,0.928
26,-5442.2,37,109,0.00,0,12.37,0.925
27,-550.1,3,11,0.00,0,13.83,0.922
28,-1349.8,13,27,0.00,0,13.50,0.919
29,-1397.2,9,28,0.00,0,13.38,0.917
30,-3339.7,23,67,0.00,0,12.33,0.914
31,-1470.0,38,110,0.25,0,11.18,0.911
32,-15623.6,105,313,0.00,0,11.51,0.908
33,-599.0,4,12,0.00,0,13.66,0.906
34,-12718.4,86,255,0.00,0,12.70,0.903
35,-698.4,4,14,0.00,0,13.61,0.900
36,-400.0,2,8,0.00,0,13.83,0.897
37,-15935.6,136,401,0.25,0,11.19,0.895
38,-700.2,4,14,0.00,0,13.83,0.892
39,-1394.3,12,28,0.00,0,12.87,0.889
40,-13731.4,91,275,0.00,0,12.39,0.887
41,-2501.4,16,50,0.00,0,13.83,0.884
42,-797.0,8,16,0.00,0,13.26,0.881
43,-6383.4,84,209,0.25,0,8.79,0.879
44,-599.0,4,12,0.00,0,13.66,0.876
45,-1099.7,8,22,0.00,0,13.67,0.874
46,-1497.5,10,30,0.00,0,13.39,0.871
47,-16704.6,140,416,0.25,0,9.90,0.868
48,-2547.7,17,51,0.00,0,13.33,0.866
49,-698.3,5,14,0.00,0,13.55,0.863
50,-994.1,7,20,0.00,0,13.00,0.861
51,-5279.5,49,106,0.00,0,10.14,0.858
52,-696.6,4,14,0.00,0,13.38,0.855
53,-6297.1,77,207,0.25,0,8.57,0.853
54,-10332.5,69,207,0.00,0,11.21,0.850
55,-21102.2,171,503,0.25,0,8.76,0.848
56,-4838.0,37,97,0.00,0,11.70,0.845
57,-10865.5,104,299,0.25,0,9.24,0.843
58,-24960.5,194,580,0.25,0,10.03,0.840
59,247476.3,156,213,0.50,0,5.30,0.838
60,-698.8,4,14,0.00,0,13.65,0.835
61,-2739.4,21,55,0.00,0,12.14,0.833
62,-1544.6,13,31,0.00,0,12.90,0.830
63,-3841.4,53,158,0.25,0,10.48,0.828
64,-3665.9,63,154,0.25,0,9.20,0.825
65,-648.5,4,13,0.00,0,13.61,0.823
